Date,Region,Region_ru,Confirmed,Recovered,Deaths,Day_Deaths,Day_Confirmed,Day_Recovered
2020-03-12,The Republic of Mordovia,Республика Мордовия,0,0,0,0,0,0
2020-03-12,Moscow,Москва,21,0,0,0,4,0
2020-03-12,Moscow region,Московская область,4,0,0,0,0,0
2020-03-12,Murmansk region,Мурманская область,0,0,0,0,0,0
2020-03-12,Nizhny Novgorod Region,Нижегородская область,1,0,0,0,0,0
2020-03-12,Novgorod region,Новгородская область,0,0,0,0,0,0
2020-03-12,Novosibirsk region,Новосибирская область,0,0,0,0,0,0
2020-03-12,Omsk region,Омская область,0,0,0,0,0,0
2020-03-12,Orenburg region,Оренбургская область,0,0,0,0,0,0
2020-03-12,Oryol Region,Орловская область,0,0,0,0,0,0
2020-03-12,Penza region,Пензенская область,0,0,0,0,0,0
2020-03-12,Perm,Пермский край,0,0,0,0,0,0
2020-03-12,Primorsky Krai,Приморский край,0,0,0,0,0,0
2020-03-12,Pskov region,Псковская область,0,0,0,0,0,0
2020-03-12,Rostov region,Ростовская область,0,0,0,0,0,0
2020-03-12,Ryazan Oblast,Рязанская область,0,0,0,0,0,0
2020-03-12,Samara Region,Самарская область,0,0,0,0,0,0
2020-03-12,St. Petersburg,Санкт-Петербург,1,0,0,0,0,0
2020-03-12,Saratov region,Саратовская область,0,0,0,0,0,0
2020-03-12,The Republic of Sakha (Yakutia),Республика Саха (Якутия),0,0,0,0,0,0
2020-03-12,Sakhalin region,Сахалинская область,0,0,0,0,0,0
2020-03-12,Sverdlovsk region,Свердловская область,0,0,0,0,0,0
2020-03-12,Sevastopol,Севастополь,0,0,0,0,0,0
2020-03-12,North Ossetia,Северная Осетия,0,0,0,0,0,0
2020-03-12,Smolensk region,Смоленская область,0,0,0,0,0,0
2020-03-12,Stavropol region,Ставропольский край,0,0,0,0,0,0
2020-03-12,Tambov Region,Тамбовская область,0,0,0,0,0,0
2020-03-12,Republic of Tatarstan,Республика Татарстан,0,0,0,0,0,0
2020-03-12,Tver region,Тверская область,0,0,0,0,0,0
2020-03-12,Tomsk region,Томская область,0,0,0,0,0,0
2020-03-12,Tula region,Тульская область,0,0,0,0,0,0
2020-03-12,Tyva Republic,Республика Тыва,0,0,0,0,0,0
2020-03-12,Tyumen region,Тюменская область,0,0,0,0,0,0
2020-03-12,Udmurtia,Удмуртская Республика,0,0,0,0,0,0
2020-03-12,Ulyanovsk region,Ульяновская область,0,0,0,0,0,0
2020-03-12,Khabarovsk region,Хабаровский край,0,0,0,0,0,0
2020-03-12,The Republic of Khakassia,Республика Хакасия,0,0,0,0,0,0
2020-03-12,Khanty-Mansiysk,Ханты-Мансийский АО,0,0,0,0,0,0
2020-03-12,Chelyabinsk region,Челябинская область,0,0,0,0,0,0
2020-03-12,Chechen Republic,Чеченская Республика,0,0,0,0,0,0
2020-03-12,Chuvash Republic,Республика Чувашия,0,0,0,0,0,0
2020-03-12,Yamalo-Nenets Autonomous Okrug,Ямало-Ненецкий АО,0,0,0,0,0,0
2020-03-12,Yaroslavskaya oblast,Ярославская область,0,0,0,0,0,0
2020-03-13,Republic of Adygea,Республика Адыгея,0,0,0,0,0,0
2020-03-13,Altai region,Алтайский край,0,0,0,0,0,0
2020-03-13,Amur region,Амурская область,0,0,0,0,0,0
2020-03-13,Arhangelsk region,Архангельская область,0,0,0,0,0,0
2020-03-13,Astrakhan region,Астраханская область,0,0,0,0,0,0
2020-03-13,Republic of Bashkortostan,Республика Башкортостан,0,0,0,0,0,0
2020-03-13,Belgorod region,Белгородская область,1,0,0,0,0,0
2020-03-13,Bryansk region,Брянская область,0,0,0,0,0,0
2020-03-13,The Republic of Buryatia,Республика Бурятия,0,0,0,0,0,0
2020-03-13,Vladimir region,Владимирская область,0,0,0,0,0,0
2020-03-13,Volgograd region,Волгоградская область,0,0,0,0,0,0
2020-03-13,Vologda Region,Вологодская область,0,0,0,0,0,0
2020-03-13,Voronezh region,Воронежская область,0,0,0,0,0,0
2020-03-13,The Republic of Dagestan,Республика Дагестан,0,0,0,0,0,0
2020-03-13,Jewish Autonomous Region,Еврейская автономная область,0,0,0,0,0,0
2020-03-13,Zabaykalsky Krai,Забайкальский край,0,0,0,0,0,0
2020-03-13,Ivanovo region,Ивановская область,0,0,0,0,0,0
2020-03-13,The Republic of Ingushetia,Республика Ингушетия,0,0,0,0,0,0
2020-03-13,Irkutsk region,Иркутская область,0,0,0,0,0,0
2020-03-13,Kabardino-Balkar Republic,Кабардино-Балкарская Республика,0,0,0,0,0,0
2020-03-13,Kaliningrad region,Калининградская область,2,0,0,0,0,0
2020-03-13,Republic of Kalmykia,Республика Калмыкия,0,0,0,0,0,0
2020-03-13,Kaluga region,Калужская область,0,0,0,0,0,0
2020-03-13,Kamchatka Krai,Камчатский край,0,0,0,0,0,0
2020-03-13,Karachay-Cherkess Republic,Карачаево-Черкесская Республика,0,0,0,0,0,0
2020-03-13,The Republic of Karelia,Республика Карелия,0,0,0,0,0,0
2020-03-13,Kemerovo region,Кемеровская область,0,0,0,0,0,0
2020-03-13,Kirov region,Кировская область,0,0,0,0,0,0
2020-03-13,Komi Republic,Республика Коми,0,0,0,0,0,0
2020-03-13,Kostroma region,Костромская область,0,0,0,0,0,0
2020-03-13,Krasnodar region,Краснодарский край,1,0,0,0,0,0
2020-03-13,Krasnoyarsk region,Красноярский край,0,0,0,0,0,0
2020-03-13,Republic of Crimea,Республика Крым,0,0,0,0,0,0
2020-03-13,Kurgan region,Курганская область,0,0,0,0,0,0
2020-03-13,Kursk region,Курская область,0,0,0,0,0,0
2020-03-13,Leningrad region,Ленинградская область,1,0,0,0,1,0
2020-03-13,Lipetsk region,Липецкая область,3,0,0,0,0,0
2020-03-13,Magadan Region,Магаданская область,0,0,0,0,0,0
2020-03-13,Mari El Republic,Республика Марий Эл,0,0,0,0,0,0
2020-03-13,The Republic of Mordovia,Республика Мордовия,0,0,0,0,0,0
2020-03-13,Moscow,Москва,26,0,0,0,5,0
2020-03-13,Moscow region,Московская область,5,0,0,0,1,0
2020-03-13,Murmansk region,Мурманская область,0,0,0,0,0,0
2020-03-13,Nizhny Novgorod Region,Нижегородская область,1,0,0,0,0,0
